"country","ForestAreaPctAnnualChange1990To2020","ForestArea2020","ForestArea1990","ForestAreaPctAnnualChange2010To2020","ForestAreaPctAnnualChange2000To2010","ForestAreaPctAnnualChange1990To2000"
"India",12.86,72160,63938,0.38,0.28,0.56
"China",39.99,219978,157141,0.93,1.26,1.2
"United States",2.43,309795,302450,0.03,0.17,0.04
"Indonesia",-22.28,92133,118545,-0.78,-0.16,-1.56
"Pakistan",-25.29,3726,4987,-0.94,-0.97,-1
"Nigeria",-18.47,21627,26526,-0.73,-0.68,-0.63
"Brazil",-15.67,496620,588898,-0.3,-0.74,-0.66
"Bangladesh",-1.93,1883,1920,-0.03,-0.17,
"Russia",0.79,815312,808950,,0.07,
"Ethiopia",-11.37,17069,19259,-0.42,-0.4,-0.39
"Mexico",-6.94,65692,70592,-0.19,-0.21,-0.32
"Japan",-0.06,24935,24950,-0.01,0.04,-0.03
"Egypt",2.27,45,44,-3.71,1.04,3.06
"Philippines",-7.58,7189,7779,0.5,-0.66,-0.62
"DR Congo",-16.25,126155,150629,-0.83,-0.48,-0.46
"Vietnam",56.18,14643,9376,0.9,1.28,2.31
"Iran",18.47,10752,9076,0.06,1.38,0.27
"Turkey",12.32,22220,19783,0.53,0.45,0.18
"Germany",1.05,11419,11300,0.01,0.05,0.05
"Thailand",2.64,19873,19361,-0.1,0.55,-0.19
"United Kingdom",14.83,3190,2778,0.42,0.35,0.62
"Tanzania",-20.29,45745,57390,-0.88,-0.72,-0.67
"France",19.51,17253,14436,0.5,0.72,0.58
"South Africa",-6.02,17050,18142,-0.21,-0.21,-0.2
"Italy",26.03,9566,7590,0.58,0.76,0.98
"Kenya",-6.43,3611,3859,-0.01,-0.91,0.26
"Myanmar",-27.22,28544,39218,-0.96,-1.03,-1.17
"Colombia",-8.95,59142,64958,-0.28,-0.31,-0.35
"South Korea",-4.03,6287,6551,-0.16,-0.14,-0.12
"Sudan",-22.1,18360,23570,-0.89,-0.83,-0.77
"Uganda",-34.6,2338,3575,-1.61,-1.39,-1.22
"Spain",33.56,18572,13905,0.01,0.82,2.09
"Algeria",16.92,1949,1667,0.16,1.96,-0.54
"Iraq",2.61,825,804,,0.09,0.17
"Argentina",-18.84,28573,35204,-0.56,-0.99,-0.53
"Afghanistan",,1208,1208,,,
"Yemen",,549,549,,,
